"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"250","ENSG00000138964","hurdle",1.28802492456379e-294,-3.083638,-1.284788,1.79885,0.61
"170","ENSG00000123094","hurdle",4.46402409432037e-75,-0.4033671,0.6020424,1.0054095,0.61
"447","ENSG00000204287","hurdle",0,-3.1686,-1.224587,1.944013,0.608
"118","ENSG00000107736","hurdle",4.71544424717788e-173,-2.5683915,-0.9703888,1.5980027,0.608
"325","ENSG00000164674","hurdle",7.61516012888767e-173,-2.59946,-0.958082,1.641378,0.607
"405","ENSG00000181631","hurdle",1.48041171530365e-313,-3.159875,-1.345321,1.814554,0.606
"343","ENSG00000167895","hurdle",3.18492850063096e-302,-3.149334,-1.394222,1.755112,0.606
"240","ENSG00000137841","hurdle",4.34544870011917e-182,-2.756972,-1.260837,1.496135,0.606
"224","ENSG00000135899","hurdle",7.42384706417253e-152,-2.485917,-1.009765,1.476152,0.606
"207","ENSG00000133106","hurdle",3.22243585453653e-182,-2.4950823,-0.8747545,1.6203278,0.606
"295","ENSG00000155926","hurdle",2.04530390277376e-229,-2.948561,-1.282595,1.665966,0.604
"203","ENSG00000132530","hurdle",2.99576446130576e-162,-2.303969,-1.065253,1.238716,0.604
"367","ENSG00000171608","hurdle",1.45462928663136e-93,-1.8208303,-0.7482738,1.0725565,0.603
"355","ENSG00000169756","hurdle",1.91950748283502e-55,-0.02910555,0.66818207,0.69728762,0.603
"221","ENSG00000135540","hurdle",4.20949575042889e-90,-0.7416642,0.08409827,0.82576247,0.603
"216","ENSG00000134352","hurdle",1.98767768359822e-49,0.1564139,0.6995938,0.5431799,0.603
"487","ENSG00000266714","hurdle",2.69207261903954e-102,-2.060367,-0.933779,1.126588,0.602
"353","ENSG00000169403","hurdle",4.15583669923953e-222,-2.948967,-1.280404,1.668563,0.601
"3","ENSG00000003402","hurdle",1.14593411438213e-63,-1.0080929,-0.2131555,0.7949374,0.601
"311","ENSG00000162496","hurdle",7.36068131550309e-131,-2.425177,-1.128861,1.296316,0.6
"143","ENSG00000115183","hurdle",1.22647040305953e-62,-0.3441347,0.2697023,0.613837,0.6
"139","ENSG00000113532","hurdle",4.16903964038058e-82,-0.8474004,-0.2363217,0.6110787,0.6
"90","ENSG00000103187","hurdle",4.70320023882343e-83,-1.5714059,-0.5166344,1.0547715,0.6
"432","ENSG00000197329","hurdle",1.7765448427369e-57,-0.61101682,0.07898867,0.69000549,0.599
"100","ENSG00000104972","hurdle",0,-3.301815,-1.522965,1.77885,0.598
"25","ENSG00000051523","hurdle",8.36600036025751e-227,-3.047305,-1.499844,1.547461,0.598
