"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"24","ENSG00000049192","hurdle",0,-1.6802353,0.7416276,2.4218629,0.658
"528","ENSG00000198846","hurdle",0,2.315549,3.226475,0.910926,0.657
"486","ENSG00000186153","hurdle",0,2.948948,3.511921,0.562973,0.657
"167","ENSG00000129595","hurdle",0,-0.5693738,0.9247227,1.4940965,0.657
"329","ENSG00000160191","hurdle",0,-1.56212718,0.02156899,1.58369617,0.656
"361","ENSG00000165443","hurdle",0,1.398644,2.087523,0.688879,0.655
"191","ENSG00000135205","hurdle",0,-0.09710794,1.33945629,1.43656423,0.655
"124","ENSG00000115183","hurdle",0,-0.7207376,0.6693686,1.3901062,0.654
"96","ENSG00000107242","hurdle",0,0.4990103,1.6873424,1.1883321,0.654
"479","ENSG00000185532","hurdle",0,2.57884,3.259506,0.680666,0.653
"347","ENSG00000164099","hurdle",0,-1.2010077,0.3728449,1.5738526,0.653
"119","ENSG00000113319","hurdle",0,2.097036,2.688805,0.591769,0.653
"339","ENSG00000163110","hurdle",0,-0.9020505,0.9526741,1.8547246,0.652
"171","ENSG00000130413","hurdle",0,-0.7273016,0.7634475,1.4907491,0.652
"49","ENSG00000081026","hurdle",0,1.943561,2.654847,0.711286,0.652
"360","ENSG00000165322","hurdle",0,0.1395252,0.9025788,0.7630536,0.651
"203","ENSG00000137672","hurdle",0,-0.9771021,0.21749,1.1945921,0.651
"109","ENSG00000111879","hurdle",0,0.6653791,1.2817549,0.6163758,0.651
"228","ENSG00000143919","hurdle",0,0.8715935,1.697587,0.8259935,0.649
"141","ENSG00000118946","hurdle",0,0.6317759,1.6533081,1.0215322,0.649
"440","ENSG00000178568","hurdle",0,2.088218,5.803366,3.715148,0.648
"89","ENSG00000106025","hurdle",0,-2.887627,-0.1412667,2.7463603,0.648
"514","ENSG00000196526","hurdle",0,-0.2650832,1.0442685,1.3093517,0.647
"305","ENSG00000154529","hurdle",0,-0.7703592,0.9686825,1.7390417,0.647
"186","ENSG00000134352","hurdle",0,-0.0449794,0.8348359,0.8798153,0.647
"548","ENSG00000231185","hurdle",0,1.177914,1.769475,0.591561,0.646
"437","ENSG00000178177","hurdle",0,0.5253577,1.2405854,0.7152277,0.645
"381","ENSG00000169213","hurdle",0,-1.6454069,0.3802754,2.0256823,0.645
"559","ENSG00000237877","hurdle",0,1.466363,2.007531,0.541168,0.643
"483","ENSG00000185842","hurdle",0,0.8016211,1.4177578,0.6161367,0.643
"501","ENSG00000188730","hurdle",0,0.3955535,2.1120045,1.716451,0.642
"403","ENSG00000171444","hurdle",0,-0.1708472,0.9631432,1.1339904,0.641
"378","ENSG00000168993","hurdle",0,0.6846338,1.4358438,0.75121,0.641
"258","ENSG00000147251","hurdle",0,-1.9702968,0.5288923,2.4991891,0.64
"18","ENSG00000039560","hurdle",0,-1.6303683,0.1062362,1.7366045,0.64
"208","ENSG00000138193","hurdle",0,-1.5337753,0.3478646,1.8816399,0.639
"537","ENSG00000204767","hurdle",0,-0.6425752,0.5356528,1.178228,0.638
"255","ENSG00000147027","hurdle",0,-1.815133,-0.3789145,1.4362185,0.638
"25","ENSG00000049246","hurdle",0,0.6173209,1.2263369,0.609016,0.638
"540","ENSG00000213626","hurdle",0,-1.7353769,-0.2619085,1.4734684,0.637
"286","ENSG00000152208","hurdle",0,3.424279,4.096328,0.672049,0.637
"265","ENSG00000148429","hurdle",0,-0.5130752,0.5157316,1.0288068,0.637
"166","ENSG00000129422","hurdle",0,0.1932053,0.9307532,0.7375479,0.637
